,title,price,mpg,rating
363,2020 Audi A5,"$50,895",26 MPG,4.8 / 5
364,2020 Audi A6,"$55,895",27 MPG,4.6 / 5
365,2020 Audi A6 allroad,"$66,895",22 MPG,4.6 / 5
366,2021 Audi A7,"$70,245",24 MPG,4.6 / 5
367,2019 Audi e-tron,"$75,795",74 MPGe,
368,2020 Audi Q3,"$35,695",22 MPG,4.8 / 5
369,2021 Audi Q5,"$44,395",25 MPG,4.7 / 5
370,2020 Audi Q7,"$55,795",21 MPG,4.7 / 5
371,2021 Audi Q8,"$69,295",20 MPG,4.7 / 5
372,2020 Audi R8,"$185,050",16 MPG,
373,2019 Audi RS 5,"$75,195",21 MPG,4.8 / 5
374,2020 Audi S3,"$43,995",25 MPG,4.6 / 5
375,2020 Audi S4,"$50,895",23 MPG,4.7 / 5
376,2020 Audi S8,"$130,495",16 MPG,
377,2020 Audi SQ5,"$53,895",20 MPG,4.7 / 5
378,2020 Audi TT,"$46,495",26 MPG,4.3 / 5
379,2021 Audi A7,"$75,945",29 MPG,4.6 / 5
380,2021 Audi Q5,"$52,995",27 MPG,4.7 / 5
381,2021 Audi A7,"$75,945",29 MPG,4.6 / 5
382,2019 Audi e-tron,"$75,795",74 MPGe,
383,2021 Audi Q5,"$52,995",27 MPG,4.7 / 5
384,2020 Audi A5,"$43,895",27 MPG,4.8 / 5
385,2020 Audi R8,"$172,850",16 MPG,
386,2019 Audi RS 5,"$75,195",21 MPG,4.8 / 5
387,2020 Audi TT,"$46,495",26 MPG,4.3 / 5
388,2020 Audi A5,"$43,895",27 MPG,4.8 / 5
389,2021 Audi A7,"$70,245",24 MPG,4.6 / 5
390,2019 Audi RS 5,"$75,195",20 MPG,4.8 / 5
391,2020 Audi TT,"$46,495",26 MPG,4.3 / 5
392,2019 Audi A4 allroad,"$46,695",25 MPG,4.5 / 5
393,2020 Audi A6 allroad,"$66,895",22 MPG,4.6 / 5
394,2020 Audi A5,"$50,895",26 MPG,4.8 / 5
395,2020 Audi R8,"$185,050",16 MPG,
396,2020 Volkswagen Arteon,"$37,015",25 MPG,4.1 / 5
397,2019 Volkswagen e-Golf,"$32,790",119 MPGe,4.1 / 5
398,2020 Volkswagen Golf,"$24,115",31 MPG,4.1 / 5
399,2020 Volkswagen Golf GTI,"$29,515",27 MPG,4.1 / 5
400,2019 Volkswagen Golf R,"$41,290",24 MPG,4.1 / 5
401,2020 Volkswagen Jetta,"$19,815",34 MPG,4.4 / 5
402,2020 Volkswagen Jetta GLI,"$27,165",28 MPG,4.4 / 5
403,2020 Volkswagen Passat,"$23,915",27 MPG,4.1 / 5
404,2021 Volkswagen Atlas,"$32,565",22 MPG,
405,2020 Volkswagen Atlas Cross Sport,"$31,565",22 MPG,4.5 / 5
406,2021 Volkswagen Tiguan,"$26,440",25 MPG,4.2 / 5
407,2021 Volkswagen Atlas,"$32,565",22 MPG,
408,2020 Volkswagen Atlas Cross Sport,"$31,565",22 MPG,4.5 / 5
409,2021 Volkswagen Tiguan,"$26,440",25 MPG,4.2 / 5
410,2019 Volkswagen e-Golf,"$32,790",119 MPGe,4.1 / 5
411,2019 Volkswagen Beetle,"$23,940",29 MPG,3.6 / 5
412,2020 Volkswagen Arteon,"$37,015",25 MPG,4.1 / 5
413,2019 Volkswagen Beetle,"$23,940",29 MPG,3.6 / 5
414,2019 Volkswagen e-Golf,"$32,790",119 MPGe,4.1 / 5
415,2020 Volkswagen Golf,"$24,115",31 MPG,4.1 / 5
416,2020 Volkswagen Golf GTI,"$29,515",27 MPG,4.1 / 5
417,2019 Volkswagen Golf R,"$41,290",24 MPG,4.1 / 5
418,2019 Volkswagen Golf Alltrack,"$27,790",24 MPG,4.2 / 5
419,2019 Volkswagen Golf SportWagen,"$22,790",32 MPG,4.1 / 5
420,2019 Volkswagen Beetle,"$26,890",29 MPG,3.6 / 5
421,2019 smart fortwo EQ cabrio,"$28,850",102 MPGe,3.0 / 5
422,2019 smart fortwo EQ coupe,"$24,650",108 MPGe,3.0 / 5
423,2019 smart fortwo EQ coupe,"$24,650",108 MPGe,3.0 / 5
424,2019 smart fortwo EQ coupe,"$24,650",108 MPGe,3.0 / 5
425,2019 smart fortwo EQ cabrio,"$28,850",102 MPGe,3.0 / 5
426,2020 Porsche Cayenne,"$82,450",21 MPG,4.5 / 5
